Study,QuestType,WhichQuestion,WhichAnswer,verb,Matrix,ImageName,MOAnswer,MSAnswer,MAAnswer,MFAnswer,ModQuestion,NoModQuestion,Group
Q,1,Mod,MO,know,Dana knows,red1.png,A,A and B,"A, B, D, and F",C,ho can give a red card,ho has a red card to give,A
Q,1,Mod,MO,know,Dana knows,red2.png,F,D and F,"B, C, D, and F",A,ho can give a red card,ho has a red card to give,A
Q,1,Mod,MO,know,Dana knows,black1.png,D,B and D,"A, B, D, and F",C,ho can give a black card,ho has a black card to give,B
Q,1,Mod,MO,know,Dana knows,black2.png,B,B and C,"B, C, D, and F",E,ho can give a black card,ho has a black card to give,B
Q,1,Mod,MO,know,Dana knows,spade1.png,C,B and C,"B, C, E, and F",A,ho can give a spade,ho has a spade to give,C
Q,1,Mod,MO,know,Dana knows,spade2.png,E,B and E,"A, B, C, and E",D,ho can give a spade,ho has a spade to give,C
Q,1,Mod,MO,know,Dana knows,club1.png,A,A and C,"A, C, D, and F",B,ho can give a club,ho has a club to give,D
Q,1,Mod,MO,know,Dana knows,club2.png,C,B and C,"B, C, D, and E",F,ho can give a club,ho has a club to give,D
Q,1,Mod,MO,know,Dana knows,diamond1.png,E,D and E,"A, B, D, and E",C,ho can give a diamond,ho has a diamond to give,E
Q,1,Mod,MO,know,Dana knows,diamond2.png,A,A and B,"A, B, E, and F",C,ho can give a diamond,ho has a diamond to give,E
Q,1,Mod,MO,know,Dana knows,hearts1.png,F,C and F,"A, C, D, and F",B,ho can give a heart,ho has a heart to give,F
Q,1,Mod,MO,know,Dana knows,hearts2.png,B,B and E,"A, B, C, and E",D,ho can give a heart,ho has a heart to give,F
Q,1,Mod,MO,know,Dana knows,jack1.png,A,A and B,"A, B, D, and F",E,ho can give a jack,ho has a jack to give,G
Q,1,Mod,MO,know,Dana knows,jack2.png,A,A and C,"A, C, E, and F",B,ho can give a jack,ho has a jack to give,G
Q,1,Mod,MO,know,Dana knows,queen1.png,B,B and C,"A, B, C, and E",D,ho can give a queen,ho has a queen to give,H
Q,1,Mod,MO,know,Dana knows,queen2.png,F,E and F,"B, C, E, and F",A,ho can give a queen,ho has a queen to give,H
Q,1,Mod,MO,know,Dana knows,king1.png,D,D and E,"A, B, D, and E",C,ho can give a king,ho has a king to give,I
Q,1,Mod,MO,know,Dana knows,king2.png,C,C and D,"A, C, D, and F",E,ho can give a king,ho has a king to give,I
Q,1,Mod,MO,know,Dana knows,face1.png,C,C and D,"A, C, D, and E",F,ho can give a face card,ho has a face card to give,J
Q,1,Mod,MO,know,Dana knows,face2.png,B,B and C,"B, C, D, and F",A,ho can give a face card,ho has a face card to give,J
Q,1,Mod,MO,know,Dana knows,number1.png,F,C and F,"C, D, E, and F",A,ho can give a number card,ho has a number card to give,K
Q,1,Mod,MO,know,Dana knows,number2.png,A,A and B,"A, B, D, and F",C,ho can give a number card,ho has a number card to give,K
Q,1,Mod,MO,know,Dana knows,ace1.png,B,B and C,"B, C, E, and F",D,ho can give an ace,ho has an ace to give,L
Q,1,Mod,MO,know,Dana knows,ace2.png,E,C and E,"A, B, C, and E",D,ho can give an ace,ho has an ace to give,L
Q,1,Mod,MO,know,Dana knows,ten1.png,C,C and D,"B, C, D, and F",E,ho can give a ten,ho has a ten to give,M
Q,1,Mod,MO,know,Dana knows,ten2.png,F,A and F,"A, B, E, and F",C,ho can give a ten,ho has a ten to give,M
Q,1,Mod,MO,know,Dana knows,eight1.png,D,B and D,"B, C, D, and E",A,ho can give a eight,ho has an eight to give,N
Q,1,Mod,MO,know,Dana knows,eight2.png,B,A and B,"A, B, D, and E",F,ho can give a eight,ho has an eight to give,N
Q,1,Mod,MO,know,Dana knows,six1.png,A,A and B,"A, B, C, and F",D,ho can give a six,ho has a six to give,O
Q,1,Mod,MO,know,Dana knows,six2.png,D,D and E,"B, D, E, and F",A,ho can give a six,ho has a six to give,O
Q,1,Mod,MO,know,Dana knows,four1.png,F,A and F,"A, B, D, and F",E,ho can give a four,ho has a four to give,P
Q,1,Mod,MO,know,Dana knows,four2.png,E,B and E,"B, D, E, and F",C,ho can give a four,ho has a four to give,P
Q,2,Mod,MS,know,Dana knows,black1.png,D,B and D,"A, B, D, and F",C,ho can give a black card,ho has a black card to give,A
Q,2,Mod,MS,know,Dana knows,black2.png,B,B and C,"B, C, D, and F",E,ho can give a black card,ho has a black card to give,A
Q,2,Mod,MS,know,Dana knows,spade1.png,C,B and C,"B, C, E, and F",A,ho can give a spade,ho has a spade to give,B
Q,2,Mod,MS,know,Dana knows,spade2.png,E,B and E,"A, B, C, and E",D,ho can give a spade,ho has a spade to give,B
Q,2,Mod,MS,know,Dana knows,club1.png,A,A and C,"A, C, D, and F",B,ho can give a club,ho has a club to give,C
Q,2,Mod,MS,know,Dana knows,club2.png,C,B and C,"B, C, D, and E",F,ho can give a club,ho has a club to give,C
Q,2,Mod,MS,know,Dana knows,diamond1.png,E,D and E,"A, B, D, and E",C,ho can give a diamond,ho has a diamond to give,D
Q,2,Mod,MS,know,Dana knows,diamond2.png,A,A and B,"A, B, E, and F",C,ho can give a diamond,ho has a diamond to give,D
Q,2,Mod,MS,know,Dana knows,hearts1.png,F,C and F,"A, C, D, and F",B,ho can give a heart,ho has a heart to give,E
Q,2,Mod,MS,know,Dana knows,hearts2.png,B,B and E,"A, B, C, and E",D,ho can give a heart,ho has a heart to give,E
Q,2,Mod,MS,know,Dana knows,jack1.png,A,A and B,"A, B, D, and F",E,ho can give a jack,ho has a jack to give,F
Q,2,Mod,MS,know,Dana knows,jack2.png,A,A and C,"A, C, E, and F",B,ho can give a jack,ho has a jack to give,F
Q,2,Mod,MS,know,Dana knows,queen1.png,B,B and C,"A, B, C, and E",D,ho can give a queen,ho has a queen to give,G
Q,2,Mod,MS,know,Dana knows,queen2.png,F,E and F,"B, C, E, and F",A,ho can give a queen,ho has a queen to give,G
Q,2,Mod,MS,know,Dana knows,king1.png,D,D and E,"A, B, D, and E",C,ho can give a king,ho has a king to give,H
Q,2,Mod,MS,know,Dana knows,king2.png,C,C and D,"A, C, D, and F",E,ho can give a king,ho has a king to give,H
